docno	text
2	Maybe these instructions will help you to get rid of that message Added instructions from the link  Alt F2  then type in gconf editor  Navigate to  apps gnome power manager notify low capacity and untick the value Or a single command gconftool   set  apps gnome power manager notify low capacity   type boolean false
10	You could use freenx instead of vnc  Freenx transmits x commands  with caching  instead of bitmaps 
12	Yes  X forwarding over ssh is a beautiful thing indeed  It allows you to use graphical applications on an app by app basis and have windows handled by your own desktop environment  You do not even need a desktop environment installed on the server You do need to set up some authentication things for it to work though  I believe you need xauth for that It s SO much faster than VNC as well  VNC was always rather laggy in my experience Edit I have no experience using this method via Windows  but I found this tutorial for you if you re interested 
18	You can use the alternative CD  instead of Ubuntu Desktop  Kubuntu Desktop  Server CD  which allows you to upgrade from CD 
19	I ve always helped identified people s needs and showed them how Ubuntu s implemented those needs  My audience is usually Mac and Windows people   but it s the same idea  Spend a few minutes touching on the new features in 10 04 then let the questions begin  I ve also found that spending a little time highlighting what you like and use it for is also helpful to show why you like use Ubuntu Try not to  as I ve made the mistake in the past  to be THIS IS   ALL OF YOUR ALTERNATIVES as it s usually frowned upon 
21	For 11 04 and earlier Are you installing it from the Ubuntu Software Center Go to Applications  Ubuntu Software Center Click on Canonical PartnersClick the Adobe Flash Plugin 11 and click install Note  this is the method I use on my 64 bit Ubuntu install and it has yet to fail me 
22	While inherently insecure  you could use XDMCP over a local network  I use it frequently to access virtual machines  Its just like logging on to your desktop  except you chose the remote server 
23	 opt is a viable option  Some people install it under  usr local 
26	Go to terminal  and enter sudo dpkg reconfigure unattended upgradesSay  yes  to the prompt  You ll still be notified about  normal  updates  such as those that contain bugfixes  but security updates will be installed automatically 
27	From a terminal sudo apt get remove xfce4
30	System    Administration    Software Sources    Updates  tab     Check for updates   Daily   Every two days   Weekly   Every two weeks 
31	For 10 10 and earlier versions  and 11 04  in an Ubuntu Classic session Open Update Manager  System   Administration   Update Manager  On the Updates tab  there s a drop down box for  Check for updates    with options for Daily  every two days  weekly or every two weeks Or you can turn it off and just check manually whenever you want 
