qid	Title	Tags	query
3	How can I set the Software Center to install software for non root users 	software-center software-installation policykit	How can I set the Software Center to install software for non root users  How can I set the Software Center to allow non root users to install stuff from the Ubuntu repos without having to type in their password I m fully aware of the security implications  and I am willing to take the risk  Fedora 12 shipped with something like this   By modifying the PolicyKit configuration  I believe  software-center software-installation policykit
196614	How do I edit applications panel menu in Lubuntu 	lubuntu menu editing alacarte	How do I edit applications panel menu in Lubuntu  Main menu  alacarte  cannot record changes as it should  Some time it does  but randomly and rarely Is this a bug This question is not a clone of this one  In that case the Main menu would not open  in this case it does but changes are rarely recorded  lubuntu menu editing alacarte
6	How to graphically interface with a headless server 	server ssh security remote-desktop vnc	How to graphically interface with a headless server  I have a ubuntu development server at work  It is an old rack server that is located somewhere in the company s dungeon  where nobody ever goes  The only way it can work is as a so called headless server  i e  with no monitor keyboard connected and only accepting network connections  Obviously  if you just need terminal access ssh is more than enough  I  however  would also like to connect to the graphical interface from time to time  At the moment I am using the built in VNC functionality but I am pretty sure this is neither the most efficient nor the most secure way of approaching this issue I have done a bit of research on the issue but failed to come to any definite conclusions  I read about trying to forward the X environment over ssh  which would at least solve my security concerns  Can anyone share their experiences in setting this up  Is there any other way that might be worth looking at I almost exclusively connect to this server from a Windows machine  I don t know if that might be a problem for some of the methods suggested  server ssh security remote-desktop vnc
7	How do I run a successful Ubuntu Hour 	community locoteams	How do I run a successful Ubuntu Hour  I m taking my be stickered laptop to a coffee shop tonight for an Ubuntu Hour   I ve let a bunch of local LUG people know about it   How can I ensure people come away from it feeling like the experience was valuable   Is there something you ve done that was particularly successful There is a wiki page about Ubuntu Hours which is very helpful   I m interested in collecting best practices from the community  community locoteams
9	How do I enable automatic updates 	updates unattended-upgrades	How do I enable automatic updates  Update Manager is constantly offering me updates  e g  security fixes  updates from PPAs  How can I tell my Ubuntu installation to automatically download and install updates whenever they become available  updates unattended-upgrades
262154	Trim and SSD with USB 3 0 enclosure does not work   UASP not supported 	usb ssd trim	Trim and SSD with USB 3 0 enclosure does not work   UASP not supported  I have installed one SSD disk  Micron C400 MTFDDAC128MAM  in an external USB 3 0 enclosure  Now I want use this disk as a second disk in my laptop with Ubuntu 12 04  The disk is working  but I want to use TRIM support which is not working as expected Checking for TRIM support user server    sudo hdparm  I  dev sdc   grep  i TRIM            Data Set Management TRIM supported  limit 8 blocks             Deterministic read data after TRIMDisk was mounted with the following options  dev sdc1 on  media MICRON type ext4  rw nosuid nodev uhelper udisks But when I run the TRIM command manually  I get an error user server    sudo fstrim  v  media MICRON fstrim   media MICRON   FITRIM ioctl failed  Operation not permittedI used this disk before as an internal disk and TRIM was working Here are some USB details   1039 248050  usb 4 1  new SuperSpeed USB device number 4 using xhci hcd  1039 265597  scsi8   usb storage 4 1 1 0  1041 547879  scsi 8 0 0 0  Direct Access     C400 MTF DDAC128MAM       0509 PQ  0 ANSI  5  1041 549134  sd 8 0 0 0  Attached scsi generic sg2 type 0  1041 550511  sd 8 0 0 0   sdc  250069680 512 byte logical blocks   128 GB 119 GiB   1041 550778  sd 8 0 0 0   sdc  Write Protect is off  1041 550785  sd 8 0 0 0   sdc  Mode Sense  23 00 00 00  1041 552520  sd 8 0 0 0   sdc  No Caching mode page present  1041 552528  sd 8 0 0 0   sdc  Assuming drive cache  write through  1041 554029  sd 8 0 0 0   sdc  No Caching mode page present  1041 554035  sd 8 0 0 0   sdc  Assuming drive cache  write through  1041 678373   sdc  sdc1  1041 679982  sd 8 0 0 0   sdc  No Caching mode page present  1041 679991  sd 8 0 0 0   sdc  Assuming drive cache  write through  1041 679997  sd 8 0 0 0   sdc  Attached SCSI diskHow to find out if the mass storage device uses the UASP  USB Attached SCSI Protocol  which should support TRIM  usb ssd trim
11	How do I install Adobe Flash player 	flash software-installation	How do I install Adobe Flash player  I have had significant problems with watching flash video in 64 bit Ubuntu   Does anyone know of a good way to get flash running on the platform  flash software-installation
65549	var cache apt archives occupying huge space	cleanup apt-cache	var cache apt archives occupying huge space I am in the process of cleaning up my system  And I see a lot of space occupied by this folder  var cache apt archives  1 5GB   Is it absolutely necessary to keep all these archives  cleanup apt-cache
98319	correct Installation and configuration of openJDK and R	java openjdk r	correct Installation and configuration of openJDK and R I am relatively new to Ubuntu so I wont know a lot of commands that probably became standard to a lot of you guys I am trying to set up R and with it the necessary java dependencies to install e g  JGR  rjava  etc  I read through quite a few instructions to do that but somehow I must have done sth wrong  Here is the state of R and java R   versionR version 2 14 1  2011 12 22 Copyright  C  2011 The R Foundation for Statistical ComputingISBN 3 900051 07 0Platform  x86 64 pc linux gnu  64 bit java  versionjava version  1 6 0 23 OpenJDK Runtime Environment  IcedTea6 1 11pre   6b23 pre11 0ubuntu1 11 10 1 OpenJDK 64 Bit Server VM  build 20 0 b11  mixed mode R CMD javareconfJava interpreter    usr bin javaJava version       1 6 0 23Java home path      usr lib jvm java 6 openjdk jreJava compiler       usr bin javacJava headers gen    usr bin javahJava archive tool   usr bin jarJava library path   usr lib jvm java 6 openjdk jre lib amd64 server  usr lib jvm java 6 openjdk jre lib amd64  usr lib jvm java 6 openjdk jre    lib amd64  usr java packages lib amd64  usr lib jni  lib  usr libJNI linker flags    L usr lib jvm java 6 openjdk jre lib amd64 server  L usr lib jvm java 6 openjdk jre lib amd64  L usr lib jvm java 6 openjdk jre    lib amd64  L usr java packages lib amd64  L usr lib jni  L lib  L usr lib  ljvmJNI cpp flags      But when I try to install  JavaGD  in R  which is a dependency for JGR I get    checking Java support in R    present interpreter     usr bin java cpp flags       java libs       L usr lib jvm java 6 openjdk jre lib amd64 server  L usr lib jvm java 6 openjdk jre lib amd64  L usr lib jvm java 6 openjdk jre    lib amd64  L usr java packages lib amd64  L usr lib jni  L lib  L usr lib  ljvm configure  error  One or more Java configuration variables are not set Make sure R is configured with full Java support  including JDK   RunR CMD javareconfas root to add Java support to R    Any help would be greatly appreciated  Thanks  java openjdk r
360466	How do I sync contacts on Ubuntu Touch 	ubuntu-touch sync contacts	How do I sync contacts on Ubuntu Touch  How do I sync  upload to download from  my contacts  with my Ubuntu Touch OS  ubuntu-touch sync contacts
